id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords
20348,Fandango,Comedy-Drama,English,Five college buddies from the University of Texas circa 1971 embark on a final road trip odyssey across the Mexican border before facing up to uncertain futures in Vietnam and otherwise.,7.065,Amblin Entertainment-Warner Bros. Pictures,1985-01-25,0,0,91,Released,"In every living species there is a stage of growth between infancy and adulthood... In most animals, it occurs during the first year of life... In humans, it happens right after college.",6.7,148,Kevin Costner-Judd Nelson-Sam Robards-Chuck Bush-Marvin J. McIntyre-Suzy Amis-Glenne Headly-Pepe Serna-Elizabeth Daily-Jane A. Johnston-Brian Cesak-Robyn Rose-Stanley Grover-Don Brunner-Michael Conn-Michael Maxwell Katz-Dana Halsted-Karl A. Wickman-Michael M. Vendrell-Bill Warren-Bill Evridge-Margaret Nelson-Manley Adams-Ken Fagen-Bill Silver-Ben Graham-Jewel Watson-Allan Keown-Dan Hewitt Owens,fireworks-airplane-skydiving-automobile-surprise party-austin texas-road movie-male bonding-dusty-stunt flying
353896,"ILM, le Savoir",Animation,French,A peasant comes to town and falls into anguish when he notices that he is different from the townspeople.,0.6,Ridha Andriantomanga,2008-03-17,0,0,3,Released,,0.0,0,,short film
447911,El guardaespaldas,,Spanish,Delivery boy for a liquor store hires on as new gun in a drug cartel.... but he's also on the police force's payroll..,1.4,,1980-03-18,0,0,90,Released,,5.0,3,Roberto 'El Flaco' Guzmán-Mónica Sánchez Navarro-Elizabeth Aguilar-Carmen del Valle-Juan Gallardo-Víctor Alcocer-Gilberto de Anda,
582470,Vengeance,,French,Vengeance emerges from a collaboration between Neïl Beloufa and a group of junior students from the banlieue of Paris. The failure of the film’s original process is incorporated in the final result which reflects on the limits and challenges of artistic social practices.,0.6,Bad Manners,2014-09-23,0,0,14,Released,,0.0,0,,
790712,180: Clone Test,Drama-Mystery,English,A night spent writing at a local bar becomes a game of cat and mouse in the desert and comes to a head at a moment of self-realization.,0.6,,2017-09-07,0,0,5,Released,"One night, one man, one doppelgänger, only one outcome.",0.0,0,Ian Tripp,
658737,Combat Bulletin 39,Documentary-War,English,Combat Bulletin was a new reel type series keeping folks up-to-date with the combat of World War II.,0.6,,1945-12-28,0,0,20,Released,,0.0,0,,
514433,The Last Film,Documentary,Russian,A film about a film where a film was made but the lead actress vanished from celluloid.,0.6,,2015-01-01,0,0,3,Released,,8.0,1,Taguhi Vardanyan,
652947,Ondh Kathe Hella,Horror-Thriller,Kannada,Five friends with contrasting personalities head out on a road trip from Bangalore to Sakleshpur. This movie is a horror anthology with 5 characters. The key chapter is about 5 friends planning a road trip from Banglore to Sakaleshpur. On their way 4 stories are shared among them and the sub-stories are based on true horror incidents.,0.6,,2019-03-08,0,0,127,Released,,0.0,0,Pranathi R Ganiga-Pratheek-Shakthi Somanna-Thandav Ram-Girish G-Karthik Rao-Thara Sadashivaiah-Priyanka Arul Mohan,
685676,En øy i solen,Documentary,Norwegian,"This film is a travel depiction from a Christmas celebration in Gran Canaria. About women seeking love on the island where frozen Norwegians ""warm up"".",0.6,Speranza Film,1998-01-01,0,0,25,Released,,0.0,0,Tone Bechstrøm-Julian Leona-Mette Børresen,
505922,Bloody Slumber Party,Thriller-Horror,English,After Kelly broke up with Rick her abusive boyfriend her friends had a slumber party to cheer her up. As they are telling horror stories there is a killer in the house coming for them.,1.973,Rosenguez Productions-Black Grey Productions,2014-06-02,0,0,80,Released,,0.0,0,Melantha Blackthorne-Gloria Chung-Scott Churchson-Elizabeth Claflin-Joseph D'Onofrio-Samantha Hahn-Andrew Hsu-Lloyd Kaufman-Annette Lawless-Suzi Lorraine-Allie Matthews-Katherine McKenna-Pooya Mohseni-Seregon O'Dassey-Barrett Perlman-Ella Steinbeck-Sarah Seeds-Lisa Pincus,slasher
25205,The Concert,Drama-Comedy,French,"A former world-famous conductor of the Bolshoï orchestra known as ""The Maëstro"" Andreï Filipov had seen his career publicly broken by Leonid Brezhnev for hiring Jewish musicians and now works cleaning the concert hall where he once directed. One day he intercepts an official invitation from the prestigious Théâtre du Châtelet. Through a series of mad antics he reunites his old orchestra now composed of old alcoholic musicians and flies to perform in Paris and complete the Tchaikovsky concerto interrupted 30 years earlier. For the concerto he engages a young violin soloist with whom he has an unexpected connection.",5.595,Canal+-BIM Distribuzione-France 3 Cinéma-RTBF-Oï  Oï  Oï Productions-Eurimages-Wild Bunch-Castel Film-Les Productions du Trésor-CinéCinéma-EuropaCorp-France 3-La Région Île-de-France-Belgacom TV-Tax Shelter ING Invest de Tax Shelter Productions-Panache Productions-Fonds d'Action de la Sacem Le,2009-11-04,0,0,119,Released,The grand deception that became the performance of a lifetime.,7.2,452,Aleksey Guskov-Mélanie Laurent-Dmitri Nazarov-François Berléand-Miou-Miou-Lionel Abelanski-Valeriy Barinov-Sara Martins-Laurent Bateau-Vlad Ivanov-Anna Kamenkova-Roger Dumas-Anghel Gheorghe-Aleksandr Komissarov-Vitalie Bichir-Guillaume Gallienne-Valentin Teodosiu-Ion Sapdaru-Maria Dinulescu-Anamaria Ferentz-Mihai Călin-Ramzy Bedia-Eric Judor-Anton Yakovlev-Constantin Drăgănescu-Hervé Pauchon-Philippe Uchan-Bing Yin-Constantin Bărbulescu-Tatiana Rotari-Patrick Zard,orchestra-musical-concert-violin player-gipsy
314864,Dark Illusion,,English,Alkis is an introverted photographer with a disorder of personality. Despite the strong relationship he has developed with his mother he reaches in despair due to the tension that exists between her and his alcoholic father. As a consequence he decides to leave the family home and move to his own place. A journalistic project he gets involved in will disturb his fragile personal balance with several parts of his current life being challenged. Trapped in a complex of contradictions he will try to find the way that will redeem himself.,0.6,,2014-10-31,0,0,72,Released,,0.0,0,,
173462,Straight Is the Way,Drama-Romance,English,Just out of prison Benny Horowitz tries to go straight. Things are complicated by his former girlfriend and his former gangster buddies.,1.217,Metro-Goldwyn-Mayer,1934-08-10,0,0,59,Released,A girl's love can make or break you!,5.0,1,Franchot Tone-May Robson-Karen Morley-Gladys George-Nat Pendleton-Jack La Rue-C. Henry Gordon-Raymond Hatton-William Bakewell-John Qualen-Akim Tamiroff,tenement-manhattan new york city-williamsburg bridge
459754,Injustice,Documentary,English,Between 1969 and 1999 over 1000 died in police custody in Britain. In this controversial documentary four women fight to find out how their own loved ones died. Each family is met with a wall of official silence and the film documents how they unite and challenge this together. The documentary uses powerful exclusive footage filmed over a five year period and witnesses the families' pain and anger at the killings.,0.663,Migrant Media,2001-04-05,0,0,98,Released,,7.0,1,,
552137,Chushingura,History-Drama,Japanese,The vassals of the Asano clan who surrendered the castle & became wanderers deceive the enemy and the public wait for an opportunity to avenge their master and his family.,0.667,Nikkatsu Corporation,1938-03-31,0,0,171,Released,,6.0,2,Chiezō Kataoka-Tsumasaburō Bandō-Kanjūrō Arashi-Takashi Shimura-Kikutaro Onoe-Kensaku Hara-Ryōsuke Kagawa-Kogiku Hanayagi-Ryūnosuke Tsukigata-Chieko Murata-Reiko Hoshi,samurai-seppuku-shogun-jidaigeki-vengeance
291891,Sweet Rosie O'Grady,Music,English,An American singer becomes engaged to an English duke but is continuously pestered over her past as a burlesque dancer by a reporter from her hometown.,0.961,20th Century Fox,1943-10-01,0,0,74,Released,THE GRANDEST ROMANTIC PAIR IN THE SWEETEST MUSICAL OF THE YEAR!,6.5,4,Betty Grable-Robert Young-Adolphe Menjou-Reginald Gardiner-Virginia Grey-Sig Ruman-Alan Dinehart-Hermes Pan-Phil Regan-Hobart Cavanaugh-Frank Orth-Jonathan Hale-George Cockerill-George Chandler-Stanley Clements-Bess Flowers-Byron Foulger,musical-romance-misunderstanding-singing-showgirl
520823,Blue Grass of Kentucky,Drama,English,"The story revolves around a colt born in Kentucky and named ""Blue Grass"". and the training of the colt to win the Kentuck Derby. and how all of that affected the lives fortunes and relationships and romances of the people associated with the colt's race-track career.",1.091,Jeffrey Bernerd Productions,1950-01-22,0,0,72,Released,,0.0,0,Bill Williams-Jane Nigh-Ralph Morgan-Russell Hicks-Robert 'Buzz' Henry-Ted Hecht-Dick Foote-Jack Howard-Bill Terrell-Stephen S. Harrison-Pierre Watkin-Harry Lauter,
802366,The Hunt For Planet B,Documentary,English,Taking us behind the scenes with NASA's high-stakes Webb Space Telescope The Hunt for Planet B follows a pioneering group of scientists - many of them women - on their quest to find another Earth among the stars.,3.004,Crazy Boat Pictures,2021-03-16,0,0,93,Released,,6.8,4,,
850902,Salıncakta Üç Kişi,Music-Romance,English,A love story between a shy dance teacher and his student.,0.6,Mine Film,1988-01-01,0,0,78,Released,,0.0,0,Yaşar Alptekin-Özlem Savaş-Atilla Saral-Nur Dikdur-Ayla Balçik-Esma Bakirtas-Gülsen Bakirtas-Sema Yilmaz-Şoray Uzun,disco
631329,Face to Face,,English,"""In this exercise in nonverbal communication Acconci explores facial expressions and their psychological resonance as a mode of performance narrative."" - Electronic Arts Intermix",0.6,,1972-01-01,0,0,16,Released,,0.0,0,,
